Id,Name,Rating,NumberOfRatings
408,"Close Shave, A (1995)",4.49107142857143,112
318,Schindler's List (1993),4.46644295302013,298
169,"Wrong Trousers, The (1993)",4.46610169491525,118
483,Casablanca (1942),4.45679012345679,243
64,"Shawshank Redemption, The (1994)",4.4452296819788,283
603,Rear Window (1954),4.38755980861244,209
12,"Usual Suspects, The (1995)",4.38576779026217,267
50,Star Wars (1977),4.35849056603774,583
178,12 Angry Men (1957),4.344,125
134,Citizen Kane (1941),4.29292929292929,198
427,To Kill a Mockingbird (1962),4.29223744292237,219
357,One Flew Over the Cuckoo's Nest (1975),4.29166666666667,264
98,"Silence of the Lambs, The (1991)",4.28974358974359,390
480,North by Northwest (1959),4.28491620111732,179
127,"Godfather, The (1972)",4.28329297820823,413
285,Secrets & Lies (1996),4.26543209876543,162
272,Good Will Hunting (1997),4.26262626262626,198
657,"Manchurian Candidate, The (1962)",4.25954198473282,131
474,Dr. Strangelove or: How I Learned to Stop Worrying,4.25257731958763,194
174,Raiders of the Lost Ark (1981),4.25238095238095,420
479,Vertigo (1958),4.25139664804469,179
313,Titanic (1997),4.24571428571429,350
511,Lawrence of Arabia (1962),4.23121387283237,173
484,"Maltese Falcon, The (1941)",4.21014492753623,138
172,"Empire Strikes Back, The (1980)",4.20435967302452,367
515,"Boot, Das (1981)",4.20398009950249,201
223,Sling Blade (1996),4.19852941176471,136
316,As Good As It Gets (1997),4.19642857142857,112
187,"Godfather: Part II, The (1974)",4.1866028708134,209
498,"African Queen, The (1951)",4.18421052631579,152
199,"Bridge on the River Kwai, The (1957)",4.17575757575758,165
170,Cinema Paradiso (1988),4.17355371900826,121
173,"Princess Bride, The (1987)",4.17283950617284,324
191,Amadeus (1984),4.16304347826087,276
302,L.A. Confidential (1997),4.16161616161616,297
100,Fargo (1996),4.15551181102362,508
22,Braveheart (1995),4.15151515151515,297
89,Blade Runner (1982),4.13818181818182,275
190,Henry V (1989),4.13709677419355,124
654,Chinatown (1974),4.13605442176871,147
528,"Killing Fields, The (1984)",4.13223140495868,121
136,Mr. Smith Goes to Washington (1939),4.12380952380952,105
496,It's a Wonderful Life (1946),4.12121212121212,231
23,Taxi Driver (1976),4.12087912087912,182
192,Raging Bull (1980),4.12068965517241,116
478,"Philadelphia Story, The (1940)",4.11538461538462,104
520,"Great Escape, The (1963)",4.10483870967742,124
197,"Graduate, The (1967)",4.10460251046025,239
185,Psycho (1960),4.10041841004184,239
315,Apt Pupil (1998),4.1,160
48,Hoop Dreams (1994),4.09401709401709,117
659,Arsenic and Old Lace (1944),4.07826086956522,115
132,"Wizard of Oz, The (1939)",4.07723577235772,246
651,Glory (1989),4.07602339181287,171
168,Monty Python and the Holy Grail (1974),4.06645569620253,316
83,Much Ado About Nothing (1993),4.0625,176
56,Pulp Fiction (1994),4.06091370558376,394
194,"Sting, The (1973)",4.05809128630705,241
124,Lone Star (1996),4.05347593582888,187
180,Apocalypse Now (1979),4.04524886877828,221
79,"Fugitive, The (1993)",4.04464285714286,336
183,Alien (1979),4.03436426116838,291
709,Strictly Ballroom (1992),4.02884615384615,104
527,Gandhi (1982),4.02051282051282,195
275,Sense and Sensibility (1995),4.01119402985075,268
181,Return of the Jedi (1983),4.00788954635108,507
198,Nikita (La Femme Nikita) (1990),4.00787401574803,127
96,Terminator 2: Judgment Day (1991),4.00677966101695,295
8,Babe (1995),3.99543378995434,219
523,Cool Hand Luke (1967),3.99390243902439,164
705,Singin' in the Rain (1952),3.99270072992701,137
205,Patton (1970),3.99264705882353,136
242,Kolya (1996),3.99145299145299,117
156,Reservoir Dogs (1992),3.98648648648649,148
213,"Room with a View, A (1986)",3.98507462686567,134
482,Some Like It Hot (1959),3.984375,128
135,2001: A Space Odyssey (1968),3.96911196911197,259
14,"Postino, Il (1994)",3.9672131147541,183
182,GoodFellas (1990),3.95132743362832,226
435,Butch Cassidy and the Sundance Kid (1969),3.94907407407407,216
176,Aliens (1986),3.94718309859155,284
208,Young Frankenstein (1974),3.945,200
510,"Magnificent Seven, The (1954)",3.94214876033058,121
86,"Remains of the Day, The (1993)",3.94,150
246,Chasing Amy (1997),3.93548387096774,124
195,"Terminator, The (1984)",3.93355481727575,301
28,Apollo 13 (1995),3.93115942028986,276
210,Indiana Jones and the Last Crusade (1989),3.93051359516616,331
269,"Full Monty, The (1997)",3.92698412698413,315
531,Shine (1996),3.92248062015504,129
193,"Right Stuff, The (1983)",3.9171974522293,157
196,Dead Poets Society (1989),3.91633466135458,251
211,M*A*S*H (1970),3.9126213592233,206
317,In the Name of the Father (1993),3.91176470588235,102
514,Annie Hall (1977),3.91111111111111,180
216,When Harry Met Sally... (1989),3.91034482758621,290
179,"Clockwork Orange, A (1971)",3.90950226244344,221
87,Searching for Bobby Fischer (1993),3.90579710144928,138
209,This Is Spinal Tap (1984),3.90575916230366,191
663,Being There (1979),3.9051724137931,116
137,Big Night (1996),3.90058479532164,171
9,Dead Man Walking (1995),3.89632107023411,299
475,Trainspotting (1996),3.884,250
655,Stand by Me (1986),3.88105726872247,227
1,Toy Story (1995),3.8783185840708,452
238,Raising Arizona (1987),3.875,256
144,Die Hard (1988),3.87242798353909,243
133,Gone with the Wind (1939),3.87134502923977,171
203,Unforgiven (1992),3.86813186813187,182
265,"Hunt for Red October, The (1990)",3.86343612334802,227
177,"Good, The Bad and The Ugly, The (1966)",3.86131386861314,137
750,Amistad (1997),3.85483870967742,124
735,Philadelphia (1993),3.85401459854015,137
69,Forrest Gump (1994),3.85358255451713,321
509,My Left Foot (1989),3.85123966942149,121
11,Seven (Se7en) (1995),3.84745762711864,236
186,"Blues Brothers, The (1980)",3.83665338645418,251
204,Back to the Future (1985),3.83428571428571,350
521,"Deer Hunter, The (1978)",3.83333333333333,120
423,E.T. the Extra-Terrestrial (1982),3.83333333333333,300
526,Ben-Hur (1959),3.83064516129032,124
150,Swingers (1996),3.82802547770701,157
200,"Shining, The (1980)",3.8252427184466,206
116,Cold Comfort Farm (1995),3.824,125
129,Bound (1996),3.82170542635659,129
504,Bonnie and Clyde (1967),3.81967213114754,122
428,Harold and Maude (1971),3.81818181818182,121
175,Brazil (1985),3.81730769230769,208
485,My Fair Lady (1964),3.816,125
228,Star Trek: The Wrath of Khan (1982),3.8155737704918,244
95,Aladdin (1992),3.81278538812785,219
443,"Birds, The (1963)",3.80864197530864,162
462,Like Water For Chocolate (Como agua para chocolate,3.80405405405405,148
42,Clerks (1994),3.80405405405405,148
258,Contact (1997),3.80353634577603,509
293,Donnie Brasco (1997),3.80272108843537,147
7,Twelve Monkeys (1995),3.7984693877551,392
97,Dances with Wolves (1990),3.79296875,256
684,In the Line of Fire (1993),3.79289940828402,169
268,Chasing Amy (1997),3.7921568627451,255
588,Beauty and the Beast (1991),3.79207920792079,202
153,"Fish Called Wanda, A (1988)",3.78542510121458,247
71,"Lion King, The (1994)",3.78181818181818,220
15,Mr. Holland's Opus (1995),3.77815699658703,293
234,Jaws (1975),3.775,280
432,Fantasia (1940),3.77011494252874,174
298,Face/Off (1997),3.7680412371134,194
143,"Sound of Music, The (1965)",3.76576576576577,222
660,Fried Green Tomatoes (1991),3.76470588235294,153
202,Groundhog Day (1993),3.76428571428571,280
154,Monty Python's Life of Brian (1979),3.74712643678161,174
257,Men in Black (1997),3.74587458745875,303
419,Mary Poppins (1964),3.7247191011236,178
93,Welcome to the Dollhouse (1995),3.72321428571429,112
378,Miracle on 34th Street (1994),3.72277227722772,101
82,Jurassic Park (1993),3.72030651340996,261
283,Emma (1996),3.71751412429379,177
237,Jerry Maguire (1996),3.7109375,384
99,Snow White and the Seven Dwarfs (1937),3.7093023255814,172
55,"Professional, The (1994)",3.70469798657718,149
215,Field of Dreams (1989),3.69811320754717,212
276,Leaving Las Vegas (1995),3.69798657718121,298
117,"Rock, The (1996)",3.69312169312169,378
157,Platoon (1986),3.69291338582677,127
433,Heathers (1989),3.69005847953216,171
303,Ulee's Gold (1997),3.6865671641791,134
282,"Time to Kill, A (1996)",3.68534482758621,232
188,Full Metal Jacket (1987),3.68235294117647,170
699,Little Women (1994),3.67647058823529,102
248,Grosse Pointe Blank (1997),3.675,160
404,Pinocchio (1940),3.67326732673267,101
470,Tombstone (1993),3.66666666666667,108
292,Rosewood (1997),3.66666666666667,114
746,Real Genius (1985),3.66386554621849,119
70,Four Weddings and a Funeral (1994),3.66135458167331,251
222,Star Trek: First Contact (1996),3.66027397260274,365
286,"English Patient, The (1996)",3.65696465696466,481
732,Dave (1993),3.65,180
568,Speed (1994),3.64782608695652,230
58,Quiz Show (1994),3.64571428571429,175
742,Ransom (1996),3.64419475655431,267
346,Jackie Brown (1997),3.64285714285714,126
151,Willy Wonka and the Chocolate Factory (1971),3.6319018404908,326
300,Air Force One (1997),3.63109048723898,431
31,Crimson Tide (1995),3.62987012987013,154
692,"American President, The (1995)",3.6280487804878,164
631,"Crying Game, The (1992)",3.6218487394958,119
92,True Romance (1993),3.61538461538462,104
471,Courage Under Fire (1996),3.61085972850679,221
47,Ed Wood (1994),3.6015037593985,133
582,"Piano, The (1993)",3.60119047619048,168
591,Primal Fear (1996),3.60112359550562,178
310,"Rainmaker, The (1997)",3.6,145
270,Gattaca (1997),3.59558823529412,136
508,"People vs. Larry Flynt, The (1996)",3.5953488372093,215
382,"Adventures of Priscilla, Queen of the Desert, The ",3.59459459459459,111
421,William Shakespeare's Romeo and Juliet (1996),3.59433962264151,106
333,"Game, The (1997)",3.59362549800797,251
164,"Abyss, The (1989)",3.58940397350993,151
91,"Nightmare Before Christmas, The (1993)",3.58741258741259,143
340,Boogie Nights (1997),3.58730158730159,189
418,Cinderella (1950),3.58139534883721,129
566,Clear and Present Danger (1994),3.56983240223464,179
273,Heat (1995),3.5695067264574,223
385,True Lies (1994),3.5625,208
125,Phenomenon (1996),3.55737704918033,244
162,On Golden Pond (1981),3.55660377358491,106
81,"Hudsucker Proxy, The (1994)",3.55454545454545,110
4,Get Shorty (1995),3.55023923444976,209
66,While You Were Sleeping (1995),3.54938271604938,162
241,"Last of the Mohicans, The (1992)",3.546875,128
88,Sleepless in Seattle (1993),3.53990610328639,213
331,"Edge, The (1997)",3.53982300884956,113
65,What's Eating Gilbert Grape (1993),3.53913043478261,115
304,Fly Away Home (1996),3.53691275167785,149
431,Highlander (1986),3.5359477124183,153
307,"Devil's Advocate, The (1997)",3.51595744680851,188
628,Sleepers (1996),3.51479289940828,169
239,Sneakers (1992),3.51333333333333,150
347,Wag the Dog (1997),3.51094890510949,137
447,Carrie (1976),3.50413223140496,121
274,Sabrina (1995),3.5,190
501,Dumbo (1941),3.49593495934959,123
111,"Truth About Cats & Dogs, The (1996)",3.48529411764706,272
161,Top Gun (1986),3.48181818181818,220
250,"Fifth Element, The (1997)",3.47715736040609,197
708,"Sex, Lies, and Videotape (1989)",3.47524752475248,101
147,"Long Kiss Goodnight, The (1996)",3.47027027027027,185
73,Maverick (1994),3.46875,128
845,That Thing You Do! (1996),3.46590909090909,176
402,Ghost (1990),3.46470588235294,170
332,Kiss the Girls (1997),3.46153846153846,143
747,Benny & Joon (1993),3.46078431372549,102
1016,Con Air (1997),3.45985401459854,137
367,Clueless (1995),3.45882352941176,170
690,Seven Years in Tibet (1997),3.45806451612903,155
218,Cape Fear (1991),3.45614035087719,171
24,Rumble in the Bronx (1995),3.44827586206897,174
230,Star Trek IV: The Voyage Home (1986),3.44723618090452,199
25,"Birdcage, The (1996)",3.44368600682594,293
288,Scream (1996),3.44142259414226,478
121,Independence Day (ID4) (1996),3.43822843822844,429
184,Army of Darkness (1993),3.43103448275862,116
109,Mystery Science Theater 3000: The Movie (1996),3.43076923076923,130
403,Batman (1989),3.42786069651741,201
751,Tomorrow Never Dies (1997),3.42777777777778,180
328,Conspiracy Theory (1997),3.42372881355932,295
13,Mighty Aphrodite (1995),3.41847826086957,184
68,"Crow, The (1994)",3.41791044776119,134
393,Mrs. Doubtfire (1993),3.41145833333333,192
762,Beautiful Girls (1996),3.39130434782609,115
763,Happy Gilmore (1996),3.38926174496644,149
596,"Hunchback of Notre Dame, The (1996)",3.37795275590551,127
327,Cop Land (1997),3.37714285714286,175
291,Absolute Power (1997),3.37007874015748,127
255,My Best Friend's Wedding (1997),3.36046511627907,172
326,G.I. Jane (1997),3.36,175
685,Executive Decision (1996),3.35668789808917,157
226,Die Hard 2 (1990),3.35542168674699,166
214,Pink Floyd - The Wall (1982),3.35087719298246,114
451,Grease (1978),3.34705882352941,170
380,Star Trek: Generations (1994),3.33620689655172,116
739,Pretty Woman (1990),3.32317073170732,164
866,Michael (1996),3.31932773109244,119
405,Mission: Impossible (1996),3.31395348837209,344
301,In & Out (1997),3.30434782608696,230
233,Under Siege (1992),3.29032258064516,124
550,Die Hard: With a Vengeance (1995),3.28476821192053,151
227,Star Trek VI: The Undiscovered Country (1991),3.27950310559006,161
77,"Firm, The (1993)",3.27814569536424,151
319,Everyone Says I Love You (1996),3.27380952380952,168
879,"Peacemaker, The (1997)",3.27205882352941,136
455,Jackie Chan's First Strike (1996),3.2551724137931,145
249,Austin Powers: International Man of Mystery (1997),3.24615384615385,130
54,Outbreak (1995),3.24038461538462,104
123,"Frighteners, The (1996)",3.23478260869565,115
271,Starship Troopers (1997),3.23222748815166,211
815,One Fine Day (1996),3.23214285714286,112
159,Basic Instinct (1992),3.22772277227723,101
895,Scream 2 (1997),3.21698113207547,106
118,Twister (1996),3.21501706484642,293
232,Young Guns (1988),3.20792079207921,101
2,GoldenEye (1995),3.20610687022901,131
148,"Ghost and the Darkness, The (1996)",3.203125,128
72,"Mask, The (1994)",3.1937984496124,129
559,Interview with the Vampire (1994),3.18248175182482,137
219,"Nightmare on Elm Street, A (1984)",3.17117117117117,111
284,Tin Cup (1996),3.16062176165803,193
217,Bram Stoker's Dracula (1992),3.15833333333333,120
294,Liar Liar (1997),3.15670103092783,485
597,Eraser (1996),3.1504854368932,206
281,"River Wild, The (1994)",3.14383561643836,146
62,Stargate (1994),3.14173228346457,127
324,Lost Highway (1997),3.136,125
321,Mother (1996),3.1301775147929,169
410,Kingpin (1996),3.12962962962963,162
473,James and the Giant Peach (1996),3.12698412698413,126
748,"Saint, The (1997)",3.12341772151899,316
928,"Craft, The (1996)",3.11538461538462,104
229,Star Trek III: The Search for Spock (1984),3.11111111111111,171
245,"Devil's Own, The (1997)",3.10833333333333,240
343,Alien: Resurrection (1997),3.09677419354839,124
94,Home Alone (1990),3.08759124087591,137
322,Murder at 1600 (1997),3.08715596330275,218
472,Dragonheart (1996),3.08227848101266,158
67,Ace Ventura: Pet Detective (1994),3.04854368932039,103
679,Conan the Barbarian (1981),3.04672897196262,107
1028,Grumpier Old Men (1995),3.04054054054054,148
449,Star Trek: The Motion Picture (1979),3.03418803418803,117
546,Broken Arrow (1996),3.03149606299213,254
476,"First Wives Club, The (1996)",3.01875,160
38,"Net, The (1995)",3.00833333333333,120
289,Evita (1996),2.98069498069498,259
53,Natural Born Killers (1994),2.953125,128
252,"Lost World: Jurassic Park, The (1997)",2.94303797468354,158
323,Dante's Peak (1997),2.93333333333333,240
411,"Nutty Professor, The (1996)",2.91411042944785,163
225,101 Dalmatians (1996),2.90825688073395,109
756,Father of the Bride Part II (1995),2.8984375,128
235,Mars Attacks! (1996),2.84792626728111,217
1047,Multiplicity (1996),2.83582089552239,134
678,Volcano (1997),2.80821917808219,219
554,Waterworld (1995),2.80392156862745,102
240,Beavis and Butt-head Do America (1996),2.78846153846154,156
264,Mimic (1997),2.74257425742574,101
926,Down Periscope (1996),2.7029702970297,101
259,George of the Jungle (1997),2.68518518518519,162
231,Batman Returns (1992),2.6830985915493,142
29,Batman Forever (1995),2.66666666666667,114
358,Spawn (1997),2.61538461538462,143
260,Event Horizon (1997),2.5748031496063,127
325,Crash (1996),2.546875,128
243,Jungle2Jungle (1997),2.43939393939394,132
122,"Cable Guy, The (1996)",2.33962264150943,106
